episode,cumulative_reward
0,79.0
1,117.5
2,132.0
3,114.5
4,118.6
5,112.16666666666667
6,104.28571428571429
7,112.625
8,107.55555555555556
9,102.1
10,104.81818181818181
11,102.5
12,99.6923076923077
13,103.64285714285714
14,102.26666666666667
15,101.25
16,104.58823529411765
17,106.27777777777777
18,105.52631578947368
19,103.75
20,103.19047619047619
21,102.13636363636364
22,101.65217391304348
23,100.5
24,98.6
25,96.84615384615384
26,99.33333333333333
27,97.64285714285714
28,99.20689655172414
29,98.0
30,97.16129032258064
31,95.78125
32,95.0909090909091
33,95.17647058823529
34,94.25714285714285
35,94.27777777777777
36,93.78378378378379
37,93.05263157894737
38,94.51282051282051
39,96.3
40,97.6829268292683
41,97.5952380952381
42,96.81395348837209
43,96.70454545454545
44,97.31111111111112
45,97.1304347826087
46,98.23404255319149
47,98.125
48,97.9795918367347
49,98.72
50,98.23529411764706
51,97.3076923076923
52,98.37735849056604
53,97.72222222222223
54,98.85454545454546
55,98.14285714285714
56,98.94736842105263
57,99.58620689655173
58,99.28813559322033
59,98.88333333333334
60,98.67213114754098
61,98.45161290322581
62,99.2063492063492
63,98.75
64,99.58461538461539
65,100.5
66,101.07462686567165
67,100.92647058823529
68,101.53623188405797
69,101.0
70,101.67605633802818
71,100.83333333333333
72,101.24657534246575
73,100.87837837837837
74,101.21333333333334
75,102.10526315789474
76,102.03896103896103
77,101.7051282051282
78,102.45569620253164
79,103.0125
80,102.91358024691358
81,102.67073170731707
82,103.144578313253
83,103.73809523809524
84,104.32941176470588
85,105.02325581395348
86,105.41379310344827
87,105.81818181818181
88,106.14606741573034
89,106.58888888888889
90,107.07692307692308
91,106.65217391304348
92,107.01075268817205
93,106.76595744680851
94,106.58947368421053
95,107.01041666666667
96,106.79381443298969
97,106.89795918367346
98,107.23232323232324
99,107.13
100,107.84
101,107.87
102,107.15
103,107.0
104,107.02
105,106.96
106,107.75
107,107.01
108,106.89
109,107.06
110,107.39
111,108.02
112,108.88
113,109.04
114,109.21
115,109.54
116,108.8
117,108.09
118,108.07
119,109.09
120,109.05
121,109.09
122,109.72
123,109.79
124,110.76
125,111.8
126,110.94
127,112.0
128,112.09
129,112.96
130,113.07
131,113.91
132,113.79
133,114.51
134,114.7
135,114.3
136,114.38
137,115.32
138,115.33
139,115.25
140,114.5
141,114.4
142,115.09
143,115.03
144,115.17
145,115.14
146,115.28
147,115.07
148,114.98
149,114.4
150,115.0
151,116.02
152,115.27
153,115.43
154,114.59
155,114.71
156,114.67
157,114.08
158,113.99
159,114.06
160,114.71
161,115.56
162,115.61
163,116.45
164,116.23
165,115.38
166,115.39
167,115.85
168,115.58
169,116.34
170,116.17
171,116.64
172,116.07
173,116.93
174,117.25
175,116.31
176,116.83
177,116.93
178,115.99
179,115.38
180,116.06
181,116.13
182,116.08
183,115.52
184,115.63
185,114.61
186,114.79
187,114.3
188,113.9
189,113.97
190,114.18
191,115.04
192,115.29
193,115.98
194,116.65
195,116.06
196,116.63
197,116.98
198,116.38
199,116.76
200,116.7
201,116.7
202,117.16
203,118.16
204,118.3
205,119.19
206,119.41
207,119.76
208,120.55
209,120.7
210,120.43
211,120.48
212,119.8
213,118.87
214,119.46
215,119.05
216,119.76
217,119.84
218,120.49
219,120.42
220,120.99
221,121.63
222,121.69
223,121.49
224,121.58
225,121.57
226,122.45
227,121.75
228,121.86
229,121.79
230,122.5
231,122.13
232,122.48
233,122.24
234,122.83
235,123.74
236,124.39
237,123.64
238,123.86
239,123.23
240,123.92
241,123.93
242,124.0
243,124.66
244,124.23
245,124.61
246,124.52
247,124.41
248,124.38
249,125.2
250,124.81
251,124.01
252,124.04
253,124.13
254,124.9
255,125.12
256,125.08
257,125.8
258,126.77
259,126.79
260,126.23
261,125.77
262,124.96
263,125.02
264,125.02
265,125.99
266,125.44
267,125.63
268,126.01
269,125.37
270,124.93
271,125.55
272,126.36
273,125.57
274,125.34
275,125.45
276,124.41
277,124.52
278,124.66
279,125.48
280,125.56
281,125.61
282,124.89
283,124.79
284,124.78
285,124.78
286,123.92
287,124.47
288,124.35
289,124.26
290,123.9
291,123.22
292,123.1
293,123.15
294,122.93
295,122.65
296,122.91
297,122.24
298,122.22
299,122.42
300,122.39
301,121.74
302,121.83
303,121.31
304,120.66
305,120.53
306,119.91
307,120.0
308,119.52
309,120.12
310,120.26
311,119.53
312,120.3
313,120.95
314,120.22
315,120.37
316,120.15
317,120.14
318,120.33
319,120.06
320,120.31
321,120.16
322,119.24
323,119.43
324,119.45
325,119.44
326,119.4
327,119.89
328,119.89
329,119.28
330,118.2
331,118.58
332,118.98
333,118.34
334,118.22
335,118.04
336,117.18
337,117.78
338,116.79
339,117.34
340,117.35
341,117.35
342,117.58
343,116.61
344,116.99
345,116.5
346,116.4
347,116.65
348,116.82
349,115.97
350,115.75
351,115.46
352,115.4
353,115.35
354,115.56
355,116.31
356,116.58
357,115.68
358,115.36
359,115.46
360,115.97
361,116.28
362,117.09
363,117.1
364,117.38
365,117.33
366,117.28
367,116.57
368,115.68
369,115.54
370,115.23
371,114.52
372,114.48
373,114.58
374,114.72
375,115.38
376,115.6
377,115.47
378,116.01
379,114.92
380,114.49
381,115.16
382,115.96
383,115.83
384,115.76
385,115.96
386,116.87
387,116.77
388,116.7
389,116.19
390,115.4
391,116.07
392,116.1
393,115.99
394,116.27
395,116.61
396,116.15
397,116.15
398,116.64
399,115.84
400,115.92
401,116.28
402,115.7
403,116.24
404,116.3
405,115.46
406,115.87
407,115.09
408,115.63
409,115.63
410,114.81
411,114.95
412,114.88
413,114.26
414,114.34
415,114.95
416,115.35
417,116.26
418,115.25
419,115.56
420,115.44
421,115.65
422,115.91
423,116.65
424,116.34
425,115.56
426,114.42
427,113.61
428,113.5
429,113.42
430,113.8
431,113.93
432,113.27
433,113.94
434,113.95
435,113.63
436,114.38
437,114.43
438,115.34
439,115.5
440,115.65
441,116.43
442,116.22
