episode,cumulative_reward
0,79
1,156
2,161
3,62
4,135
5,80
6,57
7,171
8,67
9,53
10,132
11,77
12,66
13,155
14,83
15,86
16,158
17,135
18,92
19,70
20,92
21,80
22,91
23,74
24,53
25,53
26,164
27,52
28,143
29,63
30,72
31,53
32,73
33,98
34,63
35,95
36,76
37,66
38,150
39,166
40,153
41,94
42,64
43,92
44,124
45,89
46,149
47,93
48,91
49,135
50,74
51,50
52,154
53,63
54,160
55,59
56,144
57,136
58,82
59,75
60,86
61,85
62,146
63,70
64,153
65,160
66,139
67,91
68,143
69,64
70,149
71,41
72,131
73,74
74,126
75,169
76,97
77,76
78,161
79,147
80,95
81,83
82,142
83,153
84,154
85,164
86,139
87,141
88,135
89,146
90,151
91,68
92,140
93,84
94,90
95,147
96,86
97,117
98,140
99,97
100,150
101,159
102,89
103,47
104,137
105,74
106,136
107,97
108,55
109,70
110,165
111,140
112,152
113,171
114,100
115,119
116,84
117,64
118,90
119,172
120,88
121,84
122,154
123,81
124,150
125,157
126,78
127,158
128,152
129,150
130,83
131,137
132,61
133,170
134,82
135,55
136,84
137,160
138,151
139,158
140,78
141,84
142,133
143,86
144,138
145,86
146,163
147,72
148,82
149,77
150,134
151,152
152,79
153,79
154,76
155,71
156,140
157,77
158,73
159,82
160,151
161,170
162,151
163,154
164,131
165,75
166,140
167,137
168,116
169,140
170,132
171,88
172,74
173,160
174,158
175,75
176,149
177,86
178,67
179,86
180,163
181,90
182,137
183,97
184,165
185,62
186,157
187,92
188,95
189,153
190,172
191,154
192,165
193,153
194,157
195,88
196,143
197,152
198,80
199,135
200,144
201,159
202,135
203,147
204,151
205,163
206,158
207,132
208,134
209,85
210,138
211,145
212,84
213,78
214,159
215,78
216,155
217,72
218,155
219,165
220,145
221,148
222,160
223,61
224,159
225,156
226,166
227,88
228,163
229,143
230,154
231,100
232,96
233,146
234,141
235,146
236,149
237,85
238,173
239,95
240,147
241,85
242,140
243,152
244,95
245,124
246,154
247,61
248,79
249,159
250,95
251,72
252,82
253,88
254,153
255,93
256,136
257,149
258,170
259,84
260,95
261,124
262,70
263,160
264,131
265,172
266,85
267,156
268,154
269,76
270,88
271,150
272,155
273,81
274,135
275,86
276,45
277,97
278,81
279,168
280,171
281,95
282,65
283,87
284,164
285,62
286,71
287,147
288,83
289,144
290,136
291,86
292,153
293,158
294,135
295,60
296,169
297,85
298,78
299,155
300,141
301,94
302,144
303,95
304,86
305,150
306,96
307,141
308,86
309,145
310,152
311,72
312,161
313,143
314,86
315,93
316,133
317,71
318,174
319,138
320,170
321,133
322,68
323,80
324,161
325,155
326,162
327,137
328,163
329,82
330,46
331,138
332,136
333,82
334,129
335,128
336,63
337,145
338,74
339,150
340,148
341,85
342,163
343,55
344,133
345,75
346,144
347,86
348,96
349,74
350,73
351,43
352,76
353,83
354,174
355,168
356,163
357,59
358,138
359,94
360,146
361,155
362,151
363,161
364,159
365,167
366,80
367,85
368,65
369,62
370,57
371,79
372,151
373,91
374,149
375,152
376,67
377,84
378,135
379,59
380,128
381,162
382,145
383,74
384,157
385,82
386,162
387,137
388,76
389,93
390,57
391,153
392,156
393,147
394,163
395,94
396,123
397,85
398,127
399,75
400,149
401,130
402,86
403,149
404,92
